Local,Preço
Ceasa Campinas/SP,***
Ceasa Campinas/SP,***
Ceasa Campinas/SP,***
Ceasa Campinas/SP,***
Ceasa Campinas/SP,***
Ceasa Campinas/SP,***
Ceasa Campinas/SP,***
Ceasa - Campinas/SP,***
Ceasa - Campinas/SP,***
Ceasa - Campinas/SP,***
Ceasa - Campinas/SP (CAT 1 T 150-180),"8,33"
Ceasa - Campinas/SP (CAT 1 T 150-180),"7,22"
Avocado,"9,17"
Pérola-Graúdo / Kg,"4,03"
Formosa-Extra,"7,50"
Azedo-Extra,"8,18"
Pack Triumph,s/ cotação
Murcott,s/ cotação
Itália-Extra,"14,38"
Redonda Graúda,"2,60"
Nanica-Extra,"5,20"
Extra,"2,50"
Ceasa - Belo Horizonte/MG(T.120-150),"9,16"
Ceasa - Belo Horizonte/MG (T.120-150),"7,77"
Breda,s/ cotação
Ceasa Belo Horizonte/MG,***
Havaiano-Golden (T 15-21),"11,50"
Doce (T 06-15),"20,00"
Williams,"8,33"
Ponkan (T. 7-9 DZ),s/ cotação
Niágara-Extra,"11,00"
Redonda Média,"2,40"
Prata-Extra,"8,67"
Especial,"1,75"
Ceagesp/SP (110-135 FRUTOS),"7,97"
Ceagesp/SP (110-135 FRUTOS),"7,78"
Ceasa Belo Horizonte/MG,***
Pérola Médio MG / Dz,s/ cotação
Ceasa Belo Horizonte/MG,***
Ceasa Belo Horizonte/MG,***
Ceasa Belo Horizonte/MG,***
Ceasa Belo Horizonte/MG,***
Ceasa Belo Horizonte/MG,***
Redonda Miúda,"2,20"
Ceasa - Belo Horizonte/MG,***
Primeira,"1,25"
Comum Extra,"2,22"
Ceagesp/SP,***
Formosa Extra,"3,88"
Azedo Extra AAA,"3,75"
Pack Triumph,s/ cotação
Murcott Graúda,s/ cotação
Itália,"12,50"
Ceasa - Belo Horizonte/MG,***
Nanica Climatizada 1ª,"3,00"
Ceasa - Belo Horizonte/MG,***
Comum Especial,s/ cotação
Pérola - (08 Frutos) / Un.,"6,86"
Haway Extra,"8,12"
Doce,"25,00"
Williams,"7,50"
Ponkan Graúda,"5,00"
Niágara,"12,00"
Redonda Graúda,"2,70"
Prata Climatizada 1ª,"6,00"
Extra,"2,75"
Ceagesp/SP,***
Ceagesp/SP,***
Ceagesp/SP,***
Ceagesp/SP,***
Ceagesp/SP,***
Ceagesp/SP,***
Redonda Média,"2,20"
Ceagesp/SP,***
Especial,"2,00"
Avocado/ Hass/ Fuerte A,"9,31"
Formosa (05 a 09 Frutos),"5,04"
Azedo 4A,"5,35"
Pack Triumph (80 A 100 FRUTOS),s/ cotação
Murcott (03 a 04 DZ),s/ cotação
Niágara A,"9,46"
Redonda Miúda,"1,80"
Nanica 1ª,"4,33"
Ceagesp/SP,***
Breda (Boca 8 a 11),s/ cotação
Havaí (15 a 18 Frutos),"9,16"
Doce (10 a 15 frutos),"9,55"
Williams (80 A 100 FRUTOS),"7,50"
Ponkan (02 a 04 DZ),"5,69"
Itália A,"12,96"
Ceagesp/SP,***
Prata/SP 1ª,"6,53"
15 a 18 DZ,"2,61"
Redonda Graúda,"2,62"
21 a 27 DA,"2,24"
Redonda Média,"2,06"
Acima de 31 DZ,"1,72"
Redonda Miúda,"1,54"
